鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,新竹市,房地(土地+建物)+車位,新竹市新竹市東區介壽路19號旁-A6-2F,19.5,住,Unnamed: 5,Unnamed: 6,1060601,土地13建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,156.19,3,2,2.1,有,無,13110000,98844,坡道平面,37.72,1400000,Unnamed: 26,RPQNMLSLKIMFFAO66CB,國泰禾,Unnamed: 29,來源資料夾
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟10樓,22.47,其他,,,1051229.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9610000.0,68525.0,坡道平面,27.43,1250000.0,,RPTONLRJLHMFFAO86CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟7樓,23.4,其他,,,1051227.0,土地1建物1車位2,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.86,3.0,2.0,2.0,有,無,10050000.0,67623.0,坡道平面,54.86,1800000.0,,RPUONLRJLHMFFAO96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟12樓,15.09,其他,,,1051222.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6800000.0,68105.0,坡道平面,27.43,1150000.0,,RPVONLRJLHMFFAO07CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟10樓,15.09,其他,,,1051226.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6730000.0,68467.0,坡道平面,27.43,1050000.0,,RPWONLRJLHMFFAO17CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟13樓,15.09,其他,,,1051227.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6620000.0,65935.0,坡道平面,27.43,1150000.0,親友、員工或其他特殊關係間之交易。,RPXONLRJLHMFFAO27CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟2樓,22.47,其他,,,1051221.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9090000.0,64262.0,坡道平面,27.43,1250000.0,,RPOPNLRJLHMFFAO09CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟9樓,15.09,其他,,,1051227.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6600000.0,64489.0,坡道平面,27.43,1250000.0,親友、員工或其他特殊關係間之交易。,RPPPNLRJLHMFFAO56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口G棟3樓,22.47,其他,,,1051222.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.43,3.0,2.0,2.0,有,無,9100000.0,65984.0,坡道平面,27.43,1050000.0,,RPQPNLRJLHMFFAO66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟8樓,15.09,其他,,,1051227.0,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6680000.0,67864.0,坡道平面,27.43,1050000.0,,RPRPNLRJLHMFFAO76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟7樓,15.09,其他,,,1051229.0,土地1建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6830000.0,67261.0,坡道平面,27.43,1250000.0,,RPSPNLRJLHMFFAO86CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟14樓,15.09,其他,,,1051226.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6500000.0,66900.0,坡道平面,27.43,950000.0,,RPTPNLRJLHMFFAO96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟11樓,15.09,其他,,,1051226.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6570000.0,67743.0,坡道平面,27.43,950000.0,,RPUPNLRJLHMFFAO07CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟2樓,15.09,其他,,,1051226.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6280000.0,64248.0,坡道平面,27.43,950000.0,,RPWPNLRJLHMFFAO27CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟6樓,15.09,其他,,,1051227.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6730000.0,67261.0,坡道平面,27.43,1150000.0,,RPXPNLRJLHMFFAO37CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟12樓,22.64,其他,,,1060104.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9420000.0,68010.0,坡道平面,27.43,950000.0,,RPOQNLRJLHMFFAO56CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟13樓,22.64,其他,,,1051222.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9650000.0,67448.0,坡道平面,27.43,1250000.0,,RPPQNLRJLHMFFAO66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟3樓,15.09,其他,,,1051227.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6520000.0,65935.0,坡道平面,27.43,1050000.0,,RPQQNLRJLHMFFAO76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟14樓,22.64,其他,,,1051226.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9570000.0,66806.0,坡道平面,27.43,1250000.0,,RPRQNLRJLHMFFAO86CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟10樓,22.64,其他,,,1051229.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9740000.0,68171.0,坡道平面,27.43,1250000.0,,RPSQNLRJLHMFFAO96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟5樓,15.09,其他,,,1051227.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6650000.0,67502.0,坡道平面,27.43,1050000.0,,RPTQNLRJLHMFFAO07CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口F棟4樓,15.09,其他,,,1051226.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.39,2.0,2.0,1.0,有,無,6420000.0,65935.0,坡道平面,27.43,950000.0,,RPUQNLRJLHMFFAO17CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟11樓,22.64,其他,,,1051227.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9410000.0,67127.0,坡道平面,27.43,1050000.0,,RPVQNLRJLHMFFAO27CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟6樓,22.64,其他,,,1051229.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9400000.0,67850.0,坡道平面,27.43,950000.0,,RPORNLRJLHMFFAO66CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口D棟14樓,22.3,其他,,,1051222.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.92,3.0,2.0,2.0,有,無,8180000.0,58345.0,坡道平面,27.43,1150000.0,,RPPRNLRJLHMFFAO76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟4樓,22.64,其他,,,1051222.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9460000.0,65923.0,坡道平面,27.43,1250000.0,,RPQRNLRJLHMFFAO86CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟2樓,22.64,其他,,,1051231.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9250000.0,64236.0,坡道平面,27.43,1250000.0,,RPRRNLRJLHMFFAO96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟7樓,22.77,其他,,,1051229.0,土地1建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.28,3.0,2.0,2.0,有,無,9790000.0,68171.0,坡道平面,30.74,1300000.0,,RPSRNLRJLHMFFAO07CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口D棟13樓,22.3,其他,,,1051226.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.92,3.0,2.0,2.0,有,無,8230000.0,59590.0,坡道平面,27.43,1050000.0,,RPTRNLRJLHMFFAO17CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟8樓,22.64,其他,,,1060104.0,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9780000.0,68492.0,坡道平面,27.43,1250000.0,,RPURNLRJLHMFFAO27CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟3樓,22.64,其他,,,1051223.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9290000.0,65361.0,坡道平面,27.43,1150000.0,,RPVRNLRJLHMFFAO37CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟5樓,22.64,其他,,,1051227.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9550000.0,67448.0,坡道平面,27.43,1150000.0,,RPWRNLRJLHMFFAO47CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口E棟9樓,22.64,其他,,,1060103.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.97,3.0,2.0,2.0,有,無,9690000.0,68572.0,坡道平面,27.43,1150000.0,,RPXRNLRJLHMFFAO57CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口D棟4樓,22.3,其他,,,1051221.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.92,3.0,2.0,2.0,有,無,8170000.0,57432.0,坡道平面,27.43,1250000.0,,RPOSNLRJLHMFFAO76CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口D棟11樓,22.3,其他,,,1051223.0,土地1建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.92,3.0,2.0,2.0,有,無,8290000.0,59258.0,坡道平面,27.43,1150000.0,,RPPSNLRJLHMFFAO86CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路19巷及公園路82巷口D棟12樓,22.3,其他,,,1051223.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.92,3.0,2.0,2.0,有,無,8330000.0,59590.0,坡道平面,27.43,1150000.0,,RPQSNLRJLHMFFAO96CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
